sector_a,sector_b,n_a,n_b,median_a,median_b,stat,p,p_bonf,significant,cliffs_delta
Consumer Defensive,Financial Services,46593,84461,0.0004358508746387,0.0009099434289456,1930280135.0,1.2006658921246382e-08,6.60366240668551e-07,True,-0.018989979627107016
Consumer Defensive,Technology,46593,102025,0.0004358508746387,0.0009204533706388,2333173495.5,1.2771482703951433e-08,7.024315487173288e-07,True,-0.018365638793000745
Healthcare,Technology,73096,102025,0.00045582183052865,0.0009204533706388,3671897243.0,4.8859624986621364e-08,2.687279374264175e-06,True,-0.015262901992558107
Consumer Defensive,Energy,46593,28479,0.0004358508746387,0.0010620765769828,647979904.5,7.737590944071356e-08,4.255675019239246e-06,True,-0.023333878632887016
Financial Services,Healthcare,84461,73096,0.0009099434289456,0.00045582183052865,3134849964.0,9.933385259098353e-08,5.463361892504094e-06,True,0.015539744415409899
Consumer Defensive,Industrials,46593,86629,0.0004358508746387,0.0008462755078226,1983836145.0,2.9537778953273265e-07,1.6245778424300297e-05,True,-0.0170038456090438
Energy,Healthcare,28479,73096,0.0010620765769828,0.00045582183052865,1061859172.0,5.592697912379026e-07,3.0759838518084647e-05,True,0.020184147638371872
Healthcare,Industrials,73096,86629,0.00045582183052865,0.0008462755078226,3121764140.5,1.358040076805498e-06,7.469220422430238e-05,True,-0.01400850183825126
Energy,Real Estate,28479,38595,0.0010620765769828,0.0005909927088998,560515944.5,1.0117177521286596e-05,0.0005564447636707628,True,0.019910788912171035
Real Estate,Technology,38595,102025,0.0005909927088998,0.0009204533706388,1939651556.5,1.746347915639787e-05,0.0009604913536018829,True,-0.014818912233896578
Financial Services,Real Estate,84461,38595,0.0009099434289456,0.0005909927088998,1654083620.5,2.849437594639521e-05,0.0015671906770517365,True,0.014846112433752064
Industrials,Real Estate,86629,38595,0.0008462755078226,0.0005909927088998,1694045445.0,0.00015740267616930824,0.008657147189311954,True,0.013352879512639273
Consumer Defensive,Utilities,46593,38202,0.0004358508746387,0.00082940784772905,878342411.0,0.0010401996970898937,0.057210983339944156,False,-0.013068355330233636
Consumer Cyclical,Energy,68480,28479,0.0005935399541457,0.0010620765769828,962476804.0,0.0014464223430068442,0.07955322886537643,False,-0.012966756452450781
Communication Services,Energy,28635,28479,0.0005609685204861,0.0010620765769828,401592055.5,0.0017800062544158055,0.0979003439928693,False,-0.015097623420460842
Energy,Utilities,28479,38202,0.0010620765769828,0.00082940784772905,551397755.0,0.0025452133277281716,0.13998673302504944,False,0.013640964287230039
Basic Materials,Energy,24900,28479,0.00047351719543895,0.0010620765769828,349450306.0,0.003989876578267795,0.2194432118047287,False,-0.014421234218802243
Consumer Cyclical,Technology,68480,102025,0.0005935399541457,0.0009204533706388,3465685653.5,0.005517654978688692,0.30347102382787805,False,-0.007915169482695052
Healthcare,Utilities,73096,38202,0.00045582183052865,0.00082940784772905,1382427426.0,0.00677756723991387,0.37276619819526285,False,-0.009869076003915685
Communication Services,Technology,28635,102025,0.0005609685204861,0.0009204533706388,1446055079.5,0.009208922367617544,0.5064907302189648,False,-0.010055060081370408
Consumer Cyclical,Financial Services,68480,84461,0.0005935399541457,0.0009099434289456,2869752582.5,0.009745588574648115,0.5360073716056464,False,-0.007673749072872986
Communication Services,Financial Services,28635,84461,0.0005609685204861,0.0009099434289456,1197200094.0,0.01146603193238907,0.6306317562813989,False,-0.00998145148049367
Consumer Cyclical,Consumer Defensive,68480,46593,0.0005935399541457,0.0004358508746387,1608432911.0,0.01797140111433068,0.9884270612881874,False,0.00820424207860031
Basic Materials,Technology,24900,102025,0.00047351719543895,0.0009204533706388,1257967705.5,0.018179413453660007,0.9998677399513004,False,-0.00963898288572078
Basic Materials,Financial Services,24900,84461,0.00047351719543895,0.0009099434289456,1041248870.5,0.01874570429142822,1.0,False,-0.009786203931768798
Technology,Utilities,102025,38202,0.0009204533706388,0.00082940784772905,1963996702.0,0.024144918588244985,1.0,False,0.007808567775259236
Consumer Cyclical,Industrials,68480,86629,0.0005935399541457,0.0008462755078226,2947048417.5,0.028930318841336483,1.0,False,-0.006448887830347114
Communication Services,Industrials,28635,86629,0.0005609685204861,0.0008462755078226,1229657545.0,0.02907786159299671,1.0,False,-0.008589107903029209
Energy,Industrials,28479,86629,0.0010620765769828,0.0008462755078226,1243749946.5,0.03608505189126174,1.0,False,0.008265794549913639
Real Estate,Utilities,38595,38202,0.0005909927088998,0.00082940784772905,730766857.5,0.036147351351950026,1.0,False,-0.00873061649313884
Basic Materials,Industrials,24900,86629,0.00047351719543895,0.0008462755078226,1069331978.0,0.039926728672073836,1.0,False,-0.008529260237802148
Financial Services,Utilities,84461,38202,0.0009099434289456,0.00082940784772905,1624954421.5,0.042240512595030734,1.0,False,0.007230481608502765
Consumer Cyclical,Healthcare,68480,73096,0.0005935399541457,0.00045582183052865,2518370117.5,0.042850114122326914,1.0,False,0.006218249050474143
Energy,Financial Services,28479,84461,0.0010620765769828,0.0009099434289456,1211209994.5,0.07309174882899278,1.0,False,0.007090471210554444
Consumer Cyclical,Real Estate,68480,38595,0.0005935399541457,0.0005909927088998,1329292833.0,0.10823487977731894,1.0,False,0.0059024407851484325
Communication Services,Consumer Defensive,28635,46593,0.0005609685204861,0.0004358508746387,671514599.0,0.12649394852056928,1.0,False,0.006624723107862205
Energy,Technology,28479,102025,0.0010620765769828,0.0009204533706388,1461142636.0,0.1370740562265858,1.0,False,0.005752846134776017
Industrials,Utilities,86629,38202,0.0008462755078226,0.00082940784772905,1663334562.0,0.14115010325371935,1.0,False,0.005217882540484762
Basic Materials,Consumer Defensive,24900,46593,0.00047351719543895,0.0004358508746387,583485389.0,0.19559892877980178,1.0,False,0.005865608679863575
Communication Services,Healthcare,28635,73096,0.0005609685204861,0.00045582183052865,1051529081.0,0.23739429713861504,1.0,False,0.004755713137153493
Basic Materials,Healthcare,24900,73096,0.00047351719543895,0.00045582183052865,914140370.0,0.28814118927540877,1.0,False,0.004499963298526271
Basic Materials,Utilities,24900,38202,0.00047351719543895,0.00082940784772905,473476946.5,0.33911317132099594,1.0,False,-0.004495135665430162
Communication Services,Real Estate,28635,38595,0.0005609685204861,0.0005909927088998,554955093.5,0.34063068947633757,1.0,False,0.004291078597044752
Communication Services,Utilities,28635,38202,0.0005609685204861,0.00082940784772905,544634326.0,0.34669254161469343,1.0,False,-0.0042467843481006975
Industrials,Technology,86629,102025,0.0008462755078226,0.0009204533706388,4408085038.5,0.34737421489597664,1.0,False,-0.0025065440788660407
Basic Materials,Real Estate,24900,38595,0.00047351719543895,0.0005909927088998,482542686.5,0.3668400872095552,1.0,False,0.004234971236155921
Consumer Defensive,Real Estate,46593,38595,0.0004358508746387,0.0005909927088998,896620857.0,0.4827928030727193,1.0,False,-0.0027888791536276854
Financial Services,Industrials,84461,86629,0.0009099434289456,0.0008462755078226,3664422919.5,0.5544782313157819,1.0,False,0.0016501634943872883
Consumer Cyclical,Utilities,68480,38202,0.0005935399541457,0.00082940784772905,1305435362.5,0.5896391077130023,1.0,False,-0.0019885664809593077
Consumer Defensive,Healthcare,46593,73096,0.0004358508746387,0.00045582183052865,1700143847.5,0.6386256223468778,1.0,False,-0.0016073445871228847
Financial Services,Technology,84461,102025,0.0009099434289456,0.0009204533706388,4303599700.5,0.6677598761616388,1.0,False,-0.0011528339407970356
Communication Services,Consumer Cyclical,28635,68480,0.0005609685204861,0.0005935399541457,978927616.5,0.7000396452293712,1.0,False,-0.001565367014584139
Basic Materials,Consumer Cyclical,24900,68480,0.00047351719543895,0.0005935399541457,851422903.5,0.7515834377633818,1.0,False,-0.001352485291633825
Healthcare,Real Estate,73096,38595,0.00045582183052865,0.0005909927088998,1409734498.0,0.8704717100482429,1.0,False,-0.0005923576741732347
Basic Materials,Communication Services,24900,28635,0.00047351719543895,0.0005609685204861,356499228.0,0.9970825326463393,1.0,False,-1.829423508596986e-05
